Time (s),Angle (degrees),Force IN,Force OUT,Force Efficiency,Sensor A1,Sensor A2,Sensor A3,Sensor A4,Sensor A5,Sensor B1,Sensor B2,Sensor B3,Sensor B4,Sensor B5,Sensor C1,Sensor C2,Sensor C3,Sensor C4,Sensor C5,Sensor D1,Sensor D2,Sensor D3,Sensor D4,Sensor D5
1.0,0.0,,-17.891407,1328.5332,0.0,0.0,0.0,0.0,-0.81744987,0.0,0.0,0.0,-0.84462935,-0.8269958,0.0,0.0,0.0,-1.1173487,-0.7485465,-0.6733519,-0.9001747,-0.7346666,-0.9220882,-0.80415887
2.0,0.0,,-0.2644955,-77.7251,197.0,200.0,193.0,206.0,-0.032862306,201.0,203.0,206.0,-0.107123725,-0.13714,200.0,198.0,201.0,-0.026989097,-0.032703485,0.054302573,-0.04926329,0.0074208747,0.0,0.008122817
3.0,0.0,,0.11153057,30.50306,202.0,199.0,203.0,202.0,-0.008215576,202.0,210.0,205.0,-0.016480573,0.020778788,194.0,199.0,200.0,-0.021591278,-0.029069766,0.054302573,0.04926329,-0.0037104373,0.0,-0.040614083
4.0,0.0,,-0.16546635,-87.89764,198.0,198.0,198.0,199.0,-0.004107788,192.0,207.0,205.0,-0.012360429,0.029090304,175.0,199.0,201.0,-0.053978194,0.032703485,0.057922743,-0.05374177,0.0,-0.009314022,-0.04467549
5.0,0.0,,-0.08535299,-94.30822,190.0,202.0,198.0,199.0,0.0,193.0,208.0,215.0,-0.03708129,-0.0124672735,196.0,197.0,202.0,-0.026989097,-0.018168604,0.054302573,-0.04926329,0.0,0.004657011,-0.02436845
6.0,0.0,,0.080961406,32.411552,198.0,197.0,198.0,199.0,0.004107788,197.0,207.0,199.0,0.016480573,0.1080497,200.0,200.0,197.0,-0.016193459,-0.021802325,0.0506824,-0.04478481,0.0,0.004657011,-0.012184225
7.0,0.0,,-0.389192,-179.1775,198.0,192.0,198.0,199.0,-0.004107788,201.0,203.0,201.0,-0.028841004,-0.004155758,152.0,200.0,201.0,-0.010795639,-0.032703485,0.054302573,-0.05374177,0.0037104373,0.004657011,-0.08122817
8.0,0.0,,-0.08176081,-83.64737,205.0,198.0,194.0,199.0,-0.004107788,197.0,208.0,203.0,-0.012360429,0.049869094,154.0,200.0,200.0,-0.016193459,-0.029069766,0.06516308,0.004478481,0.0037104373,0.004657011,0.02436845
9.0,0.0,,0.049145415,33.11083,205.0,199.0,199.0,199.0,-0.004107788,198.0,206.0,203.0,-0.012360429,-0.016623031,201.0,198.0,200.0,-0.021591278,-0.021802325,0.054302573,0.0,0.0037104373,-0.004657011,-0.008122817
10.0,0.0,,0.06935878,-239.48724,210.0,198.0,198.0,198.0,-0.004107788,194.0,206.0,203.0,-0.020600716,-0.004155758,197.0,202.0,201.0,-0.016193459,-0.021802325,0.0760236,0.0,0.0037104373,0.0,-0.012184225
11.0,0.0,,-0.029652834,-Infinity,209.0,197.0,198.0,199.0,0.008215576,197.0,206.0,203.0,-0.020600716,-0.004155758,203.0,202.0,200.0,-0.032386918,0.0072674416,0.06878326,-0.004478481,0.0,-0.13039632,-0.02436845
12.0,0.0,,-0.17838535,-615.9423,199.0,197.0,197.0,203.0,-0.004107788,197.0,206.0,203.0,-0.024720859,-0.0124672735,175.0,201.0,202.0,-0.010795639,-0.021802325,0.04706223,-0.058220252,0.0,-0.027942067,0.0040614083
13.0,0.0,,-0.17838535,-615.9423,199.0,197.0,197.0,203.0,-0.004107788,197.0,206.0,203.0,-0.024720859,-0.0124672735,175.0,201.0,202.0,-0.010795639,-0.021802325,0.04706223,-0.058220252,0.0,-0.027942067,0.0040614083
14.0,0.0,,-0.17838535,-615.9423,199.0,197.0,197.0,203.0,-0.004107788,197.0,206.0,203.0,-0.024720859,-0.0124672735,175.0,201.0,202.0,-0.010795639,-0.021802325,0.04706223,-0.058220252,0.0,-0.027942067,0.0040614083
15.0,0.0,,-0.17838535,-615.9423,199.0,197.0,197.0,203.0,-0.004107788,197.0,206.0,203.0,-0.024720859,-0.0124672735,175.0,201.0,202.0,-0.010795639,-0.021802325,0.04706223,-0.058220252,0.0,-0.027942067,0.0040614083
16.0,0.0,,-0.17838535,-615.9423,199.0,197.0,197.0,203.0,-0.004107788,197.0,206.0,203.0,-0.024720859,-0.0124672735,175.0,201.0,202.0,-0.010795639,-0.021802325,0.04706223,-0.058220252,0.0,-0.027942067,0.0040614083
17.0,0.0,,-0.17838535,-615.9423,199.0,197.0,197.0,203.0,-0.004107788,197.0,206.0,203.0,-0.024720859,-0.0124672735,175.0,201.0,202.0,-0.010795639,-0.021802325,0.04706223,-0.058220252,0.0,-0.027942067,0.0040614083
18.0,0.0,,-0.17838535,-615.9423,199.0,197.0,197.0,203.0,-0.004107788,197.0,206.0,203.0,-0.024720859,-0.0124672735,175.0,201.0,202.0,-0.010795639,-0.021802325,0.04706223,-0.058220252,0.0,-0.027942067,0.0040614083
19.0,0.0,,-0.17838535,-615.9423,199.0,197.0,197.0,203.0,-0.004107788,197.0,206.0,203.0,-0.024720859,-0.0124672735,175.0,201.0,202.0,-0.010795639,-0.021802325,0.04706223,-0.058220252,0.0,-0.027942067,0.0040614083
20.0,0.0,,-0.09648851,20.822674,205.0,199.0,163.0,200.0,-0.004107788,197.0,207.0,203.0,-0.020600716,0.004155758,198.0,200.0,200.0,-0.026989097,-0.029069766,0.039821886,-0.04478481,0.0,0.09314022,0.008122817
21.0,0.0,,-0.18124977,-84.85869,199.0,214.0,199.0,213.0,0.0,196.0,205.0,203.0,-0.020600716,-0.016623031,198.0,197.0,199.0,-0.032386918,-0.025436046,0.057922743,-0.067177214,0.0037104373,0.074512176,0.0040614083
22.0,0.0,,0.186461,-119.7817,229.0,182.0,211.0,200.0,-0.016431153,195.0,205.0,202.0,-0.020600716,-0.020778788,196.0,198.0,199.0,-0.026989097,-0.025436046,0.0506824,0.067177214,0.011131312,0.037256088,0.0
23.0,0.0,,0.20926915,-214.09784,149.0,205.0,200.0,232.0,0.16020374,197.0,204.0,201.0,-0.024720859,0.0124672735,199.0,196.0,201.0,-0.026989097,-0.039970927,0.054302573,0.09852658,0.0,0.0419131,0.008122817
24.0,0.0,,-0.6284432,482.20798,129.0,194.0,195.0,194.0,-0.008215576,170.0,231.0,202.0,-0.024720859,0.008311516,176.0,200.0,200.0,-0.021591278,-0.036337208,0.057922743,-0.04478481,0.0074208747,-0.018628044,0.0040614083
25.0,0.0,,-0.01857328,-10.059798,217.0,197.0,200.0,196.0,-0.053401247,181.0,210.0,202.0,-0.024720859,0.0,196.0,197.0,199.0,-0.026989097,-0.025436046,0.043442056,0.058220252,-0.0037104373,0.0,0.0
26.0,0.0,,-0.3154808,-122.73982,196.0,197.0,158.0,194.0,0.0,197.0,231.0,203.0,-0.020600716,-0.008311516,168.0,196.0,198.0,-0.021591278,-0.025436046,0.039821886,-0.04478481,0.0,0.06519816,0.0040614083
27.0,0.0,,-0.18683001,-245.75264,186.0,196.0,195.0,196.0,-0.008215576,197.0,224.0,202.0,-0.024720859,0.004155758,151.0,199.0,199.0,-0.026989097,-0.021802325,0.054302573,-0.067177214,0.0037104373,0.14436735,0.012184225
28.0,0.0,,-0.30946437,-657.56415,199.0,194.0,197.0,194.0,-0.004107788,194.0,214.0,202.0,-0.024720859,0.0124672735,148.0,198.0,199.0,-0.021591278,-0.036337208,0.04706223,-0.067177214,0.0,0.051227123,0.0040614083
29.0,0.0,,-0.6733489,-516.66437,196.0,143.0,176.0,199.0,-0.004107788,199.0,203.0,201.0,-0.020600716,-0.004155758,157.0,197.0,199.0,-0.021591278,-0.021802325,0.039821886,-0.067177214,0.0,0.037256088,0.0040614083
30.0,0.0,,-0.18376,-54.580673,202.0,190.0,198.0,199.0,-0.008215576,199.0,209.0,203.0,-0.016480573,-0.020778788,148.0,198.0,200.0,-0.016193459,-0.032703485,0.11222532,-0.04926329,0.0074208747,0.06519816,0.008122817
